,Date,snmpreportedmac,variable,value,sort_order,transmission_type,radio_type
215,2020-03-01,A8:9F:EC:DA:B9:89,2.4_Tx_mcs1,7758991,1,Tx,2.4
216,2020-03-01,A8:9F:EC:DA:B9:C5,2.4_Tx_mcs1,3269931,1,Tx,2.4
217,2020-03-01,A8:9F:EC:DA:B9:D1,2.4_Tx_mcs1,2641648,1,Tx,2.4
218,2020-03-01,A8:9F:EC:DA:B9:D5,2.4_Tx_mcs1,6532312,1,Tx,2.4
219,2020-03-01,A8:9F:EC:DA:B9:D9,2.4_Tx_mcs1,2593859,1,Tx,2.4
220,2020-03-01,A8:9F:EC:DA:B9:E5,2.4_Tx_mcs1,19686631,1,Tx,2.4
221,2020-03-01,A8:9F:EC:DA:B9:ED,2.4_Tx_mcs1,3012515,1,Tx,2.4
222,2020-03-01,A8:9F:EC:DA:BA:75,2.4_Tx_mcs1,7871664,1,Tx,2.4
223,2020-03-01,A8:9F:EC:DA:C4:19,2.4_Tx_mcs1,3581237,1,Tx,2.4
224,2020-03-01,A8:9F:EC:DA:C4:1D,2.4_Tx_mcs1,3909365,1,Tx,2.4
225,2020-03-01,A8:9F:EC:DA:C4:21,2.4_Tx_mcs1,11579485,1,Tx,2.4
226,2020-03-01,A8:9F:EC:DA:C4:41,2.4_Tx_mcs1,12307226,1,Tx,2.4
227,2020-03-01,A8:9F:EC:DA:C4:51,2.4_Tx_mcs1,9671658,1,Tx,2.4
228,2020-03-01,A8:9F:EC:FB:EB:31,2.4_Tx_mcs1,7815613,1,Tx,2.4
229,2020-03-01,A8:9F:EC:FB:EB:E1,2.4_Tx_mcs1,4677347,1,Tx,2.4
230,2020-03-01,A8:9F:EC:FB:EC:2D,2.4_Tx_mcs1,6600285,1,Tx,2.4
231,2020-03-01,A8:9F:EC:FB:EC:99,2.4_Tx_mcs1,10408142,1,Tx,2.4
232,2020-03-01,A8:9F:EC:FB:EC:A1,2.4_Tx_mcs1,5991281,1,Tx,2.4
233,2020-03-01,A8:9F:EC:FB:EC:C5,2.4_Tx_mcs1,2329022,1,Tx,2.4
234,2020-03-01,A8:9F:EC:FB:ED:61,2.4_Tx_mcs1,7149970,1,Tx,2.4
235,2020-03-01,A8:9F:EC:FC:22:81,2.4_Tx_mcs1,8526095,1,Tx,2.4
236,2020-03-01,A8:9F:EC:FC:22:AD,2.4_Tx_mcs1,4856513,1,Tx,2.4
237,2020-03-01,A8:9F:EC:FC:22:BD,2.4_Tx_mcs1,5375119,1,Tx,2.4
238,2020-03-01,A8:9F:EC:FC:26:39,2.4_Tx_mcs1,9178490,1,Tx,2.4
239,2020-03-01,A8:9F:EC:FC:26:59,2.4_Tx_mcs1,8906398,1,Tx,2.4
240,2020-03-01,A8:9F:EC:FC:26:E9,2.4_Tx_mcs1,11333687,1,Tx,2.4
241,2020-03-01,A8:9F:EC:FC:26:ED,2.4_Tx_mcs1,13351438,1,Tx,2.4
242,2020-03-01,A8:9F:EC:FC:26:F5,2.4_Tx_mcs1,16308985,1,Tx,2.4
243,2020-03-01,A8:9F:EC:FC:26:F9,2.4_Tx_mcs1,19413464,1,Tx,2.4
244,2020-03-01,A8:9F:EC:FC:27:0D,2.4_Tx_mcs1,9390513,1,Tx,2.4
245,2020-03-01,A8:9F:EC:FC:27:11,2.4_Tx_mcs1,13399314,1,Tx,2.4
246,2020-03-01,A8:9F:EC:FC:27:21,2.4_Tx_mcs1,10248799,1,Tx,2.4
247,2020-03-01,A8:9F:EC:FC:27:55,2.4_Tx_mcs1,15226547,1,Tx,2.4
248,2020-03-01,A8:9F:EC:FC:27:E5,2.4_Tx_mcs1,5797210,1,Tx,2.4
249,2020-03-01,A8:9F:EC:FC:28:8D,2.4_Tx_mcs1,10662396,1,Tx,2.4
250,2020-03-01,A8:9F:EC:FC:28:D9,2.4_Tx_mcs1,8261803,1,Tx,2.4
251,2020-03-01,A8:9F:EC:FC:29:11,2.4_Tx_mcs1,9314674,1,Tx,2.4
252,2020-03-01,A8:9F:EC:FC:29:1D,2.4_Tx_mcs1,6461698,1,Tx,2.4
253,2020-03-01,A8:9F:EC:FC:29:9D,2.4_Tx_mcs1,2587004,1,Tx,2.4
254,2020-03-01,A8:9F:EC:FC:29:A5,2.4_Tx_mcs1,9019065,1,Tx,2.4
255,2020-03-01,A8:9F:EC:FC:29:F5,2.4_Tx_mcs1,3771872,1,Tx,2.4
256,2020-03-01,A8:9F:EC:FC:2A:01,2.4_Tx_mcs1,4836264,1,Tx,2.4
257,2020-03-01,A8:9F:EC:FC:2F:99,2.4_Tx_mcs1,17737367,1,Tx,2.4
258,2020-03-01,A8:9F:EC:FC:30:85,2.4_Tx_mcs1,4730295,1,Tx,2.4
259,2020-03-01,A8:9F:EC:FC:30:89,2.4_Tx_mcs1,7220450,1,Tx,2.4
